source,family,family_size,left,right,n_users,mean_difference,raw_p,exceedances,draws,published_holm_p,recomputed_holm_p
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,LOO,Random control,250,-0.00211766544578,0.0971902809719,971,10000,0.874712528747,0.874712528747
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,Greedy seq. del.,Random control,250,-0.0019884520951,0.0981901809819,981,10000,0.874712528747,0.874712528747
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,MC Shapley,LIME,250,7.96433722589e-05,0.407459254075,4074,10000,0.612938706129,0.612938706129
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,MC Shapley,LOO,250,9.84363523208e-05,0.306469353065,3064,10000,0.612938706129,0.612938706129
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,MC Shapley,Greedy seq. del.,250,-0.00233572995813,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,MC Shapley,Random control,250,-0.00255571455809,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,LIME,LOO,250,1.87929800619e-05,0.020097990201,200,10000,0.0803919608039,0.0803919608039
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,LIME,Greedy seq. del.,250,-0.00241537333039,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,LIME,Random control,250,-0.00263535793035,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,LOO,Greedy seq. del.,250,-0.00243416631045,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,LOO,Random control,250,-0.00265415091041,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_primary,10,Greedy seq. del.,Random control,250,-0.000219984599964,0.131786821318,1317,10000,0.395360463954,0.395360463954
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,MC Shapley,LIME,5,-0.144494397919,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,MC Shapley,LOO,5,-0.144494397919,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,MC Shapley,Greedy seq. del.,5,-0.16387640052,0.501349865013,5013,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,MC Shapley,Random control,5,-0.53730241943,0.123887611239,1238,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,LIME,LOO,5,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,LIME,Greedy seq. del.,5,-0.0193820026016,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,LIME,Random control,5,-0.392808021512,0.249875012499,2498,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,LOO,Greedy seq. del.,5,-0.0193820026016,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,LOO,Random control,5,-0.392808021512,0.25097490251,2509,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_ndcg,10,Greedy seq. del.,Random control,5,-0.37342601891,0.257874212579,2578,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,MC Shapley,LIME,215,0.279499609194,0.046795320468,467,10000,0.140385961404,0.140385961404
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,MC Shapley,LOO,215,0.293787973232,0.031196880312,311,10000,0.124787521248,0.124787521248
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,MC Shapley,Greedy seq. del.,215,-3.77075596724,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,MC Shapley,Random control,215,-2.04354557679,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,LIME,LOO,215,0.0142883640379,0.0584941505849,584,10000,0.140385961404,0.140385961404
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,LIME,Greedy seq. del.,215,-4.05025557644,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,LIME,Random control,215,-2.32304518598,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,LOO,Greedy seq. del.,215,-4.06454394047,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,LOO,Random control,215,-2.33733355002,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / normalized_regret_primary,10,Greedy seq. del.,Random control,215,1.72721039046,0.712928707129,7129,10000,0.712928707129,0.712928707129
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,MC Shapley,LIME,250,-0.213720705721,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,MC Shapley,LOO,250,-0.236282654838,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,MC Shapley,Greedy seq. del.,250,0.660004458835,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,MC Shapley,Random control,250,0.716529994237,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,LIME,LOO,250,-0.0225619491163,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,LIME,Greedy seq. del.,250,0.873725164556,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,LIME,Random control,250,0.930250699959,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,LOO,Greedy seq. del.,250,0.896287113673,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,LOO,Random control,250,0.952812649075,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment,10,Greedy seq. del.,Random control,250,0.0565255354025,0.0930906909309,930,10000,0.0930906909309,0.0930906909309
per-metric family,Amazon / full_catalogue / target_margin / signed_alignment_ndcg,10,MC Shapley,LIME,6,-0.0527046276695,1,10000,10000,1,1
